Country ,Continent,Total_Time_Spent_on_Devices,Internet_via_Mobiles,Internet_via_Computer,%_of_Population_Using_the_Internet,Mobile_Internet_Speed(Mbps),Fixed_Internet_Speed(Mbps),Streaming_TV(%),Playing_Video_Games(%),Time_Spent_using_game_console,Daily_Time_Spent_Using_SocialMedia,Number_of_SocialMedia_Accounts,Listening_to_Podcasts(%),Time_Spent_Listening_to_Podcasts,Listen_to_Streaming_MusicServices(%),Time_Spent_Listening_to_MusicStreaming_services,Mobile_Internet_Share,Computer_Internet_Share,SocialMedia_Time_Ratio,Gaming_Time_Ratio,Streaming_Time_Ratio,Podcast_Time_Ratio,MusicStreaming_Time_Ratio,Digital_Dependency_Index,Connectivity_Structure_Index,Engagement_Penetration_Index,Exposure_Risk_Score
Argentina,South America,9.63,5.07,4.57,83,21.09,38.61,96.7,86.6,1.02,3.43,7.4,16.9,0.62,38.9,1.88,0.061084337,0.055060241,0.356178609,0.105919003,10.04153686,0.064382139,0.195223261,5.21,33.23484337,76.33,3.186708204
Australia,Oceania,6.22,2.82,3.4,91,81.14,51.98,91.2,75.2,1.12,1.95,6.1,20.5,0.9,16.7,1.7,0.030989011,0.037362637,0.313504823,0.180064309,14.66237942,0.144694534,0.273311897,3.427,36.42050549,64.05,4.578135048
Austria,Europe,5.7,2.48,3.22,93,50.31,51.01,88.2,74.4,0.75,1.52,5.5,15.9,0.62,33.2,1.25,0.026666667,0.034623656,0.266666667,0.131578947,15.47368421,0.10877193,0.219298246,2.9795,37.2183871,67.56,4.788245614
Belgium,Europe,5.73,2.32,3.42,94,47.98,77.58,86.7,70.5,0.67,1.57,5.6,11.6,0.42,25.8,0.95,0.024680851,0.036382979,0.27399651,0.116928447,15.13089005,0.073298429,0.165794066,2.9655,37.61831915,63.57,4.683944154
Brazil,South America,10.32,5.42,4.9,77,22.6,83.25,97.7,89.3,1.17,3.68,8.7,37,1.1,50.4,2.05,0.07038961,0.063636364,0.356589147,0.113372093,9.467054264,0.106589147,0.198643411,5.6235,30.84020779,80.99,3.016763566
Canada,North America,6.75,2.85,3.9,96.5,72.87,97.51,91.9,79.6,0.93,1.88,6.2,21.3,0.68,36.6,1.38,0.029533679,0.040414508,0.278518519,0.137777778,13.61481481,0.100740741,0.204444444,3.553,38.62098446,71.62,4.237185185
China,Asia,5.25,3.1,2.15,70.9,96.84,146.62,94.1,77.4,1.25,1.95,8,19.2,1.12,38.6,1.35,0.043723554,0.030324401,0.371428571,0.238095238,17.92380952,0.213333333,0.257142857,3.0585,28.38221439,72.44,5.597142857
Colombia,South America,10.05,5.15,4.9,69.1,13.34,55.21,95.5,86.9,1.1,3.77,7.8,21.5,0.85,33.5,1.78,0.074529667,0.070911722,0.375124378,0.109452736,9.502487562,0.084577114,0.177114428,5.5025,27.68363242,74.32,3.033631841
Denmark,Europe,5.05,2.22,2.83,99,81.58,152.31,93.1,74.6,0.72,1.98,5.8,20.6,0.88,40.1,1.68,0.022424242,0.028585859,0.392079208,0.142574257,18.43564356,0.174257426,0.332673267,2.886,39.61530303,71.65,5.73029703
Egypt,Africa,8.03,4.42,3.62,71.9,17.28,35.67,91.2,86.3,2.05,3.22,7,12,1.3,23.1,1.68,0.06147427,0.050347705,0.400996264,0.255292653,11.35740971,0.161892902,0.209215442,4.737,28.79354659,69.3,3.644209215
